,study_accession,experiment_accession,experiment_title,sample_taxon_id,sample_scientific_name,experiment_library_strategy,experiment_library_source,experiment_library_selection,sample_accession,sample_alias,experiment_instrument_model,pool_member_spots,run_1_size,run_1_accession,run_1_total_spots,run_1_total_bases
0,SRP497444,SRX24025296,Oxford Nanopore genome sequencing of Teredinibacter turnerae: strain SR02026,2426,Teredinibacter turnerae,WGS,GENOMIC,RANDOM,SRS20819438,OGL_TturneraeSR02026,MinION,253198,290686206,SRR28421270,253198,306166304
1,SRP497444,SRX24025295,Oxford Nanopore genome sequencing of Teredinibacter turnerae: strain SR01903,2426,Teredinibacter turnerae,WGS,GENOMIC,RANDOM,SRS20819437,OGL_TturneraeSR01903,MinION,77041,266017256,SRR28421271,77041,289870826
2,SRP497258,SRX24025294,Oxford Nanopore genome sequencing of Teredinibacter turnerae: strain T7902,2426,Teredinibacter turnerae,WGS,GENOMIC,RANDOM,SRS20819436,APLREDD_TturneraeT7902,MinION,300309,1280498787,SRR28421272,300309,1470008025
3,SRP495442,SRX23993657,DNA barcoding of moss-dwelling invertebrates,256318,metagenome,AMPLICON,GENOMIC,PCR,SRS20759041,GAMP_130623,MinION,179488,142593542,SRR28353774,179488,145828416
4,SRP495442,SRX23959081,DNA barcoding of moss-dwelling invertebrates,256318,metagenome,AMPLICON,GENOMIC,PCR,SRS20759041,GAMP_130623,MinION,181252,144743015,SRR28388872,181252,148960011
5,SRP492498,SRX23791833,Shotgun metagenomics of activated sludge,942017,activated sludge metagenome,WGS,METAGENOMIC,RANDOM,SRS20614978,AS_Ams2_20220511,MinION,3720324,17728569364,SRR28161539,3720324,20210481474
6,SRP492498,SRX23791832,Shotgun metagenomics of activated sludge,942017,activated sludge metagenome,WGS,METAGENOMIC,RANDOM,SRS20614977,AS_Ams2_20211216,MinION,4642486,19002982935,SRR28161540,4642486,21811589669
7,SRP492498,SRX23791831,Shotgun metagenomics of activated sludge,942017,activated sludge metagenome,WGS,METAGENOMIC,RANDOM,SRS20614976,AS_Ams2_20210609,MinION,5042293,21590420384,SRR28161541,5042293,24733966532
8,SRP492498,SRX23791827,Shotgun metagenomics of activated sludge,942017,activated sludge metagenome,WGS,METAGENOMIC,RANDOM,SRS20614973,AS_Ams2_20201112,MinION,4876837,20755532175,SRR28161545,4876837,23825761772
9,SRP483038,SRX23157911,ARES,32630,synthetic construct,AMPLICON,SYNTHETIC,PCR,SRS20108291,ARES,Illumina MiSeq,1540694,84191678,SRR27486701,1540694,284666400
10,SRP482618,SRX23139136,"ONT SQK-NBD112-24 library of Serratia sp. K-M0252: R10.4 flowcell on GridION, guppy v6.2.11 in super high accuracy mode",3112562,Serratia sp. K-M0252,WGS,GENOMIC,RANDOM,SRS20090192,SSARU_K-M0252,GridION,24733,115662913,SRR27467589,24733,133894268
11,SRP482618,SRX23139135,"ONT SQK-NBD112-24 library of Serratia sp. K-M0252: R10.4 flowcell on GridION, guppy v6.3.8 in super high accuracy mode",3112562,Serratia sp. K-M0252,WGS,GENOMIC,RANDOM,SRS20090192,SSARU_K-M0252,GridION,7401,39959671,SRR27467590,7401,46610443
12,SRP482618,SRX23139134,"ONT SQK-NBD112-96 library of Serratia sp. K-M0252: R10.4 flowcell on GridION, guppy v6.2.7 in super high accuracy mode",3112562,Serratia sp. K-M0252,WGS,GENOMIC,RANDOM,SRS20090192,SSARU_K-M0252,GridION,26293,99434741,SRR27467591,26293,114753725
13,SRP482615,SRX23139024,"ONT SQK-NBD112-24 library of Serratia sp. K-M0228: R10.4 flowcell on GridION, guppy v6.2.11 in super high accuracy mode",3112560,Serratia sp. K-M0228,WGS,GENOMIC,RANDOM,SRS20090082,SSARU_K-M0228,GridION,40471,181220566,SRR27467477,40471,208961796
14,SRP482615,SRX23139023,"ONT SQK-NBD112-24 library of Serratia sp. K-M0228: R10.4 flowcell on GridION, guppy v6.3.8 in super high accuracy mode",3112560,Serratia sp. K-M0228,WGS,GENOMIC,RANDOM,SRS20090082,SSARU_K-M0228,GridION,6423,33602464,SRR27467478,6423,38946692
15,SRP482615,SRX23139022,"ONT SQK-NBD112-96 library of Serratia sp. K-M0228: R10.4 flowcell on GridION, guppy v6.2.7 in super high accuracy mode",3112560,Serratia sp. K-M0228,WGS,GENOMIC,RANDOM,SRS20090082,SSARU_K-M0228,GridION,27391,117139007,SRR27467479,27391,135393213
16,SRP482612,SRX23138995,"ONT SQK-NBD112-24 library of Serratia sp. K-M0260: R10.4 flowcell on GridION, guppy v6.2.11 in super high accuracy mode",3112561,Serratia sp. K-M0260,WGS,GENOMIC,RANDOM,SRS20090057,SSARU_K-M0260,GridION,20370,113078473,SRR27467448,20370,131542024
17,SRP482612,SRX23138994,"ONT SQK-NBD112-24 library of Serratia sp. K-M0260: R10.4 flowcell on GridION, guppy v6.3.8 in super high accuracy mode",3112561,Serratia sp. K-M0260,WGS,GENOMIC,RANDOM,SRS20090057,SSARU_K-M0260,GridION,6101,38015881,SRR27467449,6101,44381207
18,SRP482612,SRX23138993,"ONT SQK-NBD112-96 library of Serratia sp. K-M0260: R10.4 flowcell on GridION, guppy v6.2.7 in super high accuracy mode",3112561,Serratia sp. K-M0260,WGS,GENOMIC,RANDOM,SRS20090057,SSARU_K-M0260,GridION,27668,157460057,SRR27467450,27668,183723032
19,SRP461660,SRX21823903,Schwanniomyces capriottii UCD805 MinION reads,27295,Debaryomyces castellii,WGS,GENOMIC,RANDOM,SRS18923890,Scap_UCD805,MinION,60987,358325299,SRR26109698,60987,387422748
