,run_accession,study_accession,study_title,experiment_accession,experiment_title,experiment_desc,organism_taxid,organism_name,library_name,library_strategy,library_source,library_selection,library_layout,sample_accession,sample_title,biosample,bioproject,instrument,instrument_model,instrument_model_desc,total_spots,total_size,run_total_spots,run_total_bases,run_alias,public_filename,public_size,public_date,public_md5,public_version,public_semantic_name,public_supertype,public_sratoolkit,aws_url,aws_free_egress,aws_access_type,public_url,ncbi_url,ncbi_free_egress,ncbi_access_type,gcp_url,gcp_free_egress,gcp_access_type,experiment_alias,strain,host,collection_date,geo_loc_name,sample_type,collected_by,average coverage,biosamplemodel,ena_fastq_http,ena_fastq_http_1,ena_fastq_http_2,ena_fastq_ftp,ena_fastq_ftp_1,ena_fastq_ftp_2,isolation_source,lat_lon,depth,elev,env_broad_scale,env_local_scale,env_medium,isol_growth_condt,type-material,study_id,source_type,purpose_of_sampling,project_name,sequenced_by,facility_type,coll_site_geo_feat,food_type_processed,serovar,sub_species,ifsac_category,food_origin,intended_consumer,food_product_type,tax id,subsrc_note,host_body_product,host_disease,isolate,dev_stage,tissue,biomaterial_provider,host_tissue_sampled,passage_history,culture_collection,num_replicons,ref_biomaterial,age,sex,cell_line
0,SRR25865495,SRP457925,Staphylococcus aureus Genome sequencing,SRX21586902,WGS of Staphylococcus aureus: sweet potato leaf,WGS of Staphylococcus aureus: sweet potato leaf,1280,Staphylococcus aureus,straphy,WGS,GENOMIC,PCR,SINGLE,SRS18786956,,SAMN37208208,PRJNA1011016,MinION,MinION,OXFORD_NANOPORE,89605,752537960,89605,853423688,BC24_Saureus.fastq,SRR25865495,752540189,2023-09-01 03:59:24,77cc1e946a012b1400f2272572cc72f6,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25865495/SRR25865495,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR025/25865/SRR25865495/SRR25865495.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR025/25865/SRR25865495/SRR25865495.1,worldwide,anonymous,gs://sra-pub-run-6/SRR25865495/SRR25865495.1,gs.US,gcp identity,,21SAU_AGRO3,,2022-04-14,South Korea: Busan,environmental,,,"Microbe, viral or environmental",,,,,,,sweet potato leaf,35.2100 N 129.0689 E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,SRR24446469,SRP436136,Yeasts from cold environments Genome sequencing and assembly,SRX20233644,WGS of MNACCFEE5262 - psychrophilic yeast,WGS of MNACCFEE5262 - psychrophilic yeast,92952,Naganishia adeliensis,MNACCFEE5262,WGS,GENOMIC,RANDOM,SINGLE,SRS17567921,,SAMN33864269,PRJNA947659,MinION,MinION,OXFORD_NANOPORE,341527,1932530045,341527,2136890999,5262_nanopore_all.fastq,SRR24446469,1932532274,2023-05-05 14:46:48,74b5cc0c1c916618fcaee416b07be86d,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24446469/SRR24446469,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446469/SRR24446469.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446469/SRR24446469.1,worldwide,anonymous,gs://sra-pub-run-9/SRR24446469/SRR24446469.1,gs.US,gcp identity,,MNA-CCFEE 5262,,missing,Antarctica,,,,MIGS/MIMS/MIMARKS.sediment,,,,,,,,missing,missing,missing,polar desert,missing,missing,"MA, PDA, OA: 8Â°C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,SRR23796603,SRP426545,Salmonella enterica subsp. enterica genome sequencing for One Health Surveillance in Palestine,SRX19628690,Nanopore sequencing of Campylobacter jejuni from human stool,Nanopore sequencing of Campylobacter jejuni from human stool,149539,Salmonella enterica subsp. enterica serovar Enteritidis,Salmonella_enterica_Human_faeces_3_2022,WGS,GENOMIC,RANDOM,SINGLE,SRS16998282,,SAMN33677890,PRJNA942086,MinION,MinION,OXFORD_NANOPORE,63607,236221208,63607,275937411,Salmonella_enterica_Human_faeces_3_2022.fastq,SRR23796603,236223441,2023-03-10 02:56:03,5207a52d23da09f363b5d6804d3d83c7,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR23796603/SRR23796603,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23796/SRR23796603/SRR23796603.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23796/SRR23796603/SRR23796603.1,worldwide,anonymous,gs://sra-pub-run-6/SRR23796603/SRR23796603.1,gs.US,gcp identity,,PS_Ent_3_2022,Homo sapiens,2022-07,State of Palestine: West Bank,,Swiss Tropical and Public Health Institute,,One Health Enteric,,,,,,,State of Palestine: West Bank,,,,,,,,,3,human,research,Salmonella enterica subsp. enterica genome sequencing for One Health Surveillance in Palestine,Swiss Tropical and Public Health Institute,,,,Enteritidis,enterica,,,,,,,stool,Salmonella gastroenteritis,,,,,,,,,,,,
21,SRR21641189,SRP398261,Dyckia ibiramensis Genome sequencing and assembly,SRX17641528,WGS of Dyckia ibiramensis,WGS of Dyckia ibiramensis,1520601,Dyckia ibiramensis,Ibi08,WGS,GENOMIC,RANDOM,SINGLE,SRS15175584,,SAMN30448151,PRJNA872198,MinION,MinION,OXFORD_NANOPORE,2690,4336217,2690,4571578,fastq_runid_b39edcd18401523450821a7230ea13633d681ddd_9_0.fastq,SRR21641189,4337446,2022-09-20 15:13:24,9d6eb74082e097d50807425cb291f7b4,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR21641189/SRR21641189,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR021/21641/SRR21641189/SRR21641189.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR021/21641/SRR21641189/SRR21641189.1,worldwide,anonymous,gs://sra-pub-run-8/SRR21641189/SRR21641189.1,gs.US,gcp identity,,,,,"Brazil: Ibirama, SC",,Tiago Montagna,,Plant,,,,,,,greenhouse progeny,,,,,,,,,,,,,,,,,,,,,,,,,,,VMS_2022a,young,leave,"NPTF, CCA, UFSC",,,,,,,,
4,SRR24446470,SRP436136,Yeasts from cold environments Genome sequencing and assembly,SRX20233643,WGS of MNACCFEE5261 - psychrophilic yeast,WGS of MNACCFEE5261 - psychrophilic yeast,610337,Naganishia cerealis,MNACCFEE5261,WGS,GENOMIC,RANDOM,SINGLE,SRS17567920,,SAMN33864268,PRJNA947659,MinION,MinION,OXFORD_NANOPORE,392143,2229677061,392143,2452712307,5261_nanopore_all.fastq,SRR24446470,2229679294,2023-05-05 14:45:33,fdb00c2f93d5a3e050a60e8691b3725d,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR24446470/SRR24446470,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446470/SRR24446470.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR024/24446/SRR24446470/SRR24446470.1,worldwide,anonymous,gs://sra-pub-run-9/SRR24446470/SRR24446470.1,gs.US,gcp identity,,MNA-CCFEE 5261,,missing,Antarctica,,,,MIGS/MIMS/MIMARKS.sediment,,,,,,,,missing,missing,missing,polar desert,missing,missing,"MA, PDA, OA: 8Â°C",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,SRR23796565,SRP426543,Campylobacter jejuni subsp. jejuni genome sequencing for One Health Surveillance in Palestine,SRX19628618,Nanopore sequencing of Campylobacter jejuni from chicken manure,Nanopore sequencing of Campylobacter jejuni from chicken manure,197,Campylobacter jejuni,Campylobacter_jejuni_Chicken_manure_9_2021,WGS,GENOMIC,RANDOM,SINGLE,SRS16998213,,SAMN33677827,PRJNA942088,MinION,MinION,OXFORD_NANOPORE,4687,26957529,4687,29969296,Campylobacter_jejuni_Chicken_manure_9_2021.fastq,SRR23796565,26959757,2023-03-10 02:35:54,2f0fb3f114b0633fe1e8464a6ad1aa91,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR23796565/SRR23796565,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23796/SRR23796565/SRR23796565.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23796/SRR23796565/SRR23796565.1,worldwide,anonymous,gs://sra-pub-run-6/SRR23796565/SRR23796565.1,gs.US,gcp identity,,PS_9_2021,,2021-10-13,State of Palestine: West Bank,,Swiss Tropical and Public Health Institute,,One Health Enteric,,,,,,,State of Palestine: West Bank,,,,,,,,,9,environmental,research,Campylobacter jejuni subsp. jejuni genome sequencing for One Health Surveillance in Palestine,Swiss Tropical and Public Health Institute,chicken farm,farm [ENVO:00000078],chicken,,,,,,,,,,,,,,,,,,,,,,
0,SRR28421270,SRP497444,Two new strains of Teredinibacter turnerae,SRX24025296,Oxford Nanopore genome sequencing of Teredinibacter turnerae: strain SR02026,Oxford Nanopore genome sequencing of Teredinibacter turnerae: strain SR02026,2426,Teredinibacter turnerae,SR02026_001,WGS,GENOMIC,RANDOM,SINGLE,SRS20819438,,SAMN40581186,PRJNA1090931,MinION,MinION,OXFORD_NANOPORE,253198,290686206,253198,306166304,SR02026_ONT-reads.fastq,SRR28421270,290688438,2024-03-22 16:32:44,526157e6c3d4d4e0e8c12690cc4a02ba,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR28421270/SRR28421270,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-34/SRR028/28421/SRR28421270/SRR28421270.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos2/sra-pub-run-34/SRR028/28421/SRR28421270/SRR28421270.1,worldwide,anonymous,gs://sra-pub-run-4/SRR28421270/SRR28421270.1,gs.US,gcp identity,,SR02026,Teredo bartschi,2020-01-24,"USA: Indian River Lagoon, Merit Island, FL",cell culture,,,"Microbe, viral or environmental",,,,,,,,28.40605 N 80.66034 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Dan Distel, Ocean Genome Legacy Center, 430 Nahant Road Nahant MA, 01908",gill,Isolated from a fourth-generation lab-reared specimen,,,,,,
1,SRR26109698,SRP461660,Debaryomyces castellii strain:UCD805 Genome sequencing and assembly,SRX21823903,Schwanniomyces capriottii UCD805 MinION reads,Schwanniomyces capriottii UCD805 MinION reads,27295,Debaryomyces castellii,Scap_UCD805_minion,WGS,GENOMIC,RANDOM,SINGLE,SRS18923890,,SAMN37456362,PRJNA1018912,MinION,MinION,OXFORD_NANOPORE,60987,358325299,60987,387422748,UCD805.fastq.gz,SRR26109698,358327529,2023-09-19 14:28:54,e2e1553868b5d78a37430126bd3be6dd,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR26109698/SRR26109698,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR026/26109/SRR26109698/SRR26109698.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR026/26109/SRR26109698/SRR26109698.1,worldwide,anonymous,gs://sra-pub-run-6/SRR26109698/SRR26109698.1,gs.US,gcp identity,,UCD805,,2022-09,"Ireland: UCD Campus, Dublin",cell culture,Eoin O Cinneide,,"Microbe, viral or environmental",,,,,,,soil,53.310884 N 6.223159 W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,SRR23879687,SRP427671,Lacticaseibacillus sp.  DSM 115425 Genome sequencing and assembly,SRX19691692,"ONT SQK-LSK112 library of Lacticaseibacillus sp. DSM 115425: R10.4 flowcell on GridION, guppy v6.3.8 in super high accuracy mode","ONT SQK-LSK112 library of Lacticaseibacillus sp. DSM 115425: R10.4 flowcell on GridION, guppy v6.3.8 in super high accuracy mode",3035291,Lacticaseibacillus huelsenbergensis,DSM115425_ONT,WGS,GENOMIC,RANDOM,SINGLE,SRS17060688,,SAMN33777240,PRJNA945261,GridION,GridION,OXFORD_NANOPORE,297762,1119702634,297762,1284400665,PRJNA945261_ONT.fastq.gz,SRR23879687,1119704868,2023-03-17 16:50:00,274100ea78e35bf682b4178af327da52,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR23879687/SRR23879687,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23879/SRR23879687/SRR23879687.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos4/sra-pub-run-30/SRR023/23879/SRR23879687/SRR23879687.1,worldwide,anonymous,gs://sra-pub-run-5/SRR23879687/SRR23879687.1,gs.US,gcp identity,,DSM 115425,,2020-11-22,Croatia: Gaj,pure culture,"Schein, Hermine",,"Microbe, viral or environmental",,,,,,,corn silage,45.47850 N 17.04290 E,,,,,,,type strain of Lacticaseibacillus huelsenbergensis,,,,,,,,,,,,,,,3035291,,,,,,,DSM 115425,,,DSM:115425,,,,,
0,SRR25523715,SRP453417,Streptomyces sp. PU10 Raw sequence reads,SRX21253748,Streptomyces PU10 genome sequencing,Streptomyces PU10 genome sequencing,3062780,Streptomyces sp. PU10,Strep_PU10_NP01,WGS,GENOMIC,RANDOM,SINGLE,SRS18507742,,SAMN36797333,PRJNA1001180,MinION,MinION,OXFORD_NANOPORE,59349,213527832,59349,246271805,PU10_dorado_filtered.fastq,SRR25523715,213529476,2023-08-04 16:16:28,804287d60841a6970f648fd8c965fcbe,1,SRA Normalized,Primary ETL,1,https://sra-pub-run-odp.s3.amazonaws.com/sra/SRR25523715/SRR25523715,worldwide,anonymous,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR025/25523/SRR25523715/SRR25523715.1,https://sra-downloadb.be-md.ncbi.nlm.nih.gov/sos3/sra-pub-run-36/SRR025/25523/SRR25523715/SRR25523715.1,worldwide,anonymous,gs://sra-pub-run-3/SRR25523715/SRR25523715.1,gs.US,gcp identity,,PU10,,2022-03-20,Serbia: Belgrade,,,,MIGS/MIMS/MIMARKS.soil,,,,,,,,N/A,5 cm,N/A,Terrestrial biome,Enriched soil,"Compost soil, Forest soil","Minimal Salt Medium (MSM) medium with Impranil DLN SD as carbon source (9 g/L Na2HPO4 x 12H2O, 1.5 g/L KH2PO4, 1 g/L NH4Cl, 0.12 g/L MgSO4, 0.11 g/L CaCl2, 0.1% trace elements solution and 5 g/L Impranil DLN SD)",,,,,,,,,,,,,,,,,,,,,,,,,,,1,N/A,,,
